Product Name,Price,Rating
MI Lithium Ion Xiaomi Wireless Power Bank 10000mAh | 22.5W Fast Charging (USB-A) | 10W Wireless Charging | Two-Way Fast Charging | Fast Charging USB C Input Port -Black,"2,499",4.0 out of 5 stars
"Ambrane 10000mAh Magnetic Wireless Power Bank for iPhone 12 & Above, 22.5W Wired + 15W Wireless Charging, Mobile Stand, Type C PD (Input & Output), Li-Polymer (Aerosync PB 10, Black)","1,999",3.1 out of 5 stars
"URBN 10000 mAh Lithium Power Bank UPR10K with 12 Watt Fast Charging, Blue","1,049",3.9 out of 5 stars
"Ambrane 100W Fast Charging Powerbank for MacBook, Type C Laptop & Mobile Charging, 25,000mAh Battery, Triple Output, Power Delivery & Quick Charge (Powerlit Ultra, Black)","4,999",5.0 out of 5 stars
URBN 20000 mAh 20W Super Fast Charging Metal Power Bank | Type C PD (Input& Output) QC 3.0 Dual USB Output Two-Way Fast Charging Type C Cable Included -Blue,"1,699",3.7 out of 5 stars
URBN 27000 mAh Lithium_Polymer 20W Fast Charging Power Bank with Type C PD (Input& Output) and QC 3.0 Dual USB Output with Free Type C Cable (Black),"2,199",3.8 out of 5 stars
URBN 10000 mAh Lithium_ion Premium Black Edition Nano Power Bank | 20W Fast Charging | Smallest Power Bank | Type C PD (Input& Output) | Made in India | Dual Output | Free Type C Cable - Black,"1,649",4.1 out of 5 stars
"Ambrane 60W Fast Charging Powerbank for MacBook, Type C Laptop & Mobile Charging, Lithium Ion Battery, Metallic Body, Triple Output, Power Delivery & Quick Charge (Powerlit Boost, Black)","3,999",5.0 out of 5 stars
"Ambrane 20000mAh Compact Power Bank, 22.5W Fast Charging, Metallic Body, Triple Output, Type C PD (Input & Output), Li-Polymer for iPhone, Smartphones & Other Devices (Powerlit XL, Blue)","2,492",3.9 out of 5 stars
"Spigen 5in1 10000 mAh Wireless Power Bank with USB-A Dual Charging Dock for TWS and Smartwatches, Lithium Polymer - Black","3,329",3.9 out of 5 stars
"Belkin 10000 mAh Slim Power Bank with 1 USB-C and 2 USB-A Ports to Charge 3 Devices Simultaneously with up to 15W for iPhones, Android Phones, Smart Watches, Apple AirPods - Blue","1,699",4.2 out of 5 stars
"Amazon Basics 10000mAH Lithium Polymer Power Bank | 3 Charging Cables Included | Four Way Output (Micro USB, Type C, iPhone Cables and 1 USB Port), Dual Input (Type C, Micro USB) | Black","1,199",3.8 out of 5 stars
"Redmi Lithiumpolymer 10000 Mah Fast Charging Slim Power Bank (Black, 10W Fast Charging, Dual Ports)","1,199",4.2 out of 5 stars
URBN 20000 mAh Li-Polymer Ultra Compact Power Bank | 12W Fast Charge | Dual USB Output | Type C & Micro Input Only | Pocket Size | Made in India (Blue),"1,599",3.9 out of 5 stars
"Ambrane 20000mAh Compact Power Bank, 22.5W Fast Charging, Metallic Body, Triple Output, Type C PD (Input & Output), Li-Polymer for iPhone, Smartphones & Other Devices (Powerlit XL, Blue)","2,492",3.9 out of 5 stars
"Spigen 3in1 10000 mAh Wireless Charging Power Bank with USB-A | USB-C 20W Fast Charging, Included USB-C to USB-C Cable, Lithium Polymer - Black","2,249",3.9 out of 5 stars
"Portronics Power PRO 10K 10000mAh Power Bank with Dual Output Emergency Mobile Charger (Black, Lithium_Polymer)",799,3.7 out of 5 stars
"Redmi 20000mAh Power Bank, USB Type C, Micro USB Ports, Dual USB Output, 18W Fast Charging, Low Power Mode, (White)","2,049",4.2 out of 5 stars
"Ambrane 50000mAh Power Bank, 20W Fast Charging, Metallic Body, Triple Output, Type C PD (Input & Output), Li-Polymer, Multi-Layer Protection for iPhone, Smartphones & Other Devices (Stylo Max, Black)","4,417",4.1 out of 5 stars
URBN 20000 mAh Premium Nano Power Bank | 22.5W Super Fast Charging | Smallest Power Bank | Dual Type C Power Delivery (PD) Output + 1 USB Output for Quick Charge | Two-Way Fast Charge (Camo),"2,399",4.1 out of 5 stars
URBN 5000 mAh Premium Black Edition Magsafe Power Bank | 15W Fast Wireless Charging |Strong Magnetic Hold | Type C Input/Output | Pass Through Charging | MagTag Ring Included | (Black),"2,499",2.1 out of 5 stars
URBN 10000 mAh Lithium_ion Premium Black Edition Nano Power Bank | 20W Fast Charging | Smallest Power Bank | Type C PD (Input& Output) | Made in India | Dual Output | Free Type C Cable - Black,"1,649",4.1 out of 5 stars
URBN 10000 mAh Li-Polymer Ultra Compact Power Bank | 12W Fast Charge | Dual USB Output | Type C & Micro Input Only | Pocket Size | Made in India (Purple),,3.9 out of 5 stars
"Belkin 10000 mAh Slim Power Bank with 1 USB-C and 2 USB-A Ports to Charge 3 Devices Simultaneously with up to 15W for iPhones, Android Phones, Smart Watches, Apple AirPods - Black","1,899",4.2 out of 5 stars
"Portronics Power Brick II 10000 mAh Power Bank with LED Indicators, Fast Charging for Mobile & Other Devices(Black)",749,3.4 out of 5 stars
"Ambrane 20000mAh Power Bank with 10.5W Fast Charging, Dual USB Output, Made in India, Multi-Layer Protection, Wide Compatibility, Stylish & Compact Design + Free Type-C Cable (Capsule 20, Black)","1,399",3.6 out of 5 stars
"Ambrane 10000mAh Compact Powerbank, 22.5W Fast Charging, Dual Output Ports 1 USB & 1 Type-C, Power Delivery, Quick Charge, Li-Polymer for iPhone, Android & Other Devices (Powerlit, Purple)","1,599",4.6 out of 5 stars
"Ambrane 10000mAh Compact Powerbank, 22.5W Fast Charging, Dual Output Ports 1 USB & 1 Type-C, Power Delivery, Quick Charge, Li-Polymer for iPhone, Android & Other Devices (Powerlit, Black)","1,599",4.6 out of 5 stars
"URBN 10000 mAh 20W Super Fast Charging Ultra Compact Nano Lithium_ion Power Bank with Quick Charge & Power Delivery, Type C Input/Output, Type C Cable Included (Camo)","1,599",4.1 out of 5 stars
"Ambrane 50000mAh Powerbank, 20W Fast Charging, Metallic Body, Triple Output, Type C PD (Input & Output), Li-Polymer, Compatible for iPhone, Android, Laptop & Other Devices (Stylo Max, Blue)","4,499",4.1 out of 5 stars
"URBN 10000 mAh 15W Li-Polymer Premium Black Edition Wireless Power Bank | 22.5W Fast Charging | Type C Power Delivery (1 Input, 3 Output) | Made in India| Free Type C Cable (Black)","2,199",3.8 out of 5 stars
URBN 20000 mAh Premium Black Edition Nano Power Bank | 22.5W Super Fast Charging | Pocket Size| Dual Type C Power Delivery (PD) Output + 1 USB Output for Quick Charge | Two-Way Fast Charge (Black),"2,599",4.1 out of 5 stars
"Redmi 10000mAh Lithium Polymer Power Bank with 10 Watt Fast Charging, (White)","1,199",4.2 out of 5 stars
"Ambrane 20000mAh Power Bank with 10.5W Fast Charging, Dual USB Output, Made in India, Multi-Layer Protection, Wide Compatibility, Stylish & Compact Design + Free Type-C Cable (Capsule 20, Green)","1,399",3.4 out of 5 stars
"Ambrane 10000mAh Magnetic Wireless Power Bank for iPhone 12 & Above, 22.5W Wired + 15W Wireless Charging, Mobile Stand, Type C PD (Input & Output), Li-Polymer (Aerosync PB 10, Black)","1,999",3.1 out of 5 stars
"URBN 10000 mAh Lithium Power Bank UPR10K with 12 Watt Fast Charging, Blue","1,049",3.9 out of 5 stars
"Ambrane 100W Fast Charging Powerbank for MacBook, Type C Laptop & Mobile Charging, 25,000mAh Battery, Triple Output, Power Delivery & Quick Charge (Powerlit Ultra, Black)","4,999",5.0 out of 5 stars
URBN 27000 mAh Lithium_Polymer 20W Fast Charging Power Bank with Type C PD (Input& Output) and QC 3.0 Dual USB Output with Free Type C Cable (Black),"2,199",3.8 out of 5 stars
URBN 20000 mAh 20W Super Fast Charging Metal Power Bank | Type C PD (Input& Output) QC 3.0 Dual USB Output | Two-Way Fast Charging | Type C Cable Included -Red,"1,699",3.7 out of 5 stars
URBN 10000 mAh Lithium_ion Premium Black Edition Nano Power Bank | 20W Fast Charging | Smallest Power Bank | Type C PD (Input& Output) | Made in India | Dual Output | Free Type C Cable - Black,"1,649",4.1 out of 5 stars
"Ambrane 20000mAh Compact Power Bank, 22.5W Fast Charging, Metallic Body, Triple Output, Type C PD (Input & Output), Li-Polymer for iPhone, Smartphones & Other Devices (Powerlit XL, Blue)","2,492",3.9 out of 5 stars
"Ambrane 60W Fast Charging Powerbank for MacBook, Type C Laptop & Mobile Charging, Lithium Ion Battery, Metallic Body, Triple Output, Power Delivery & Quick Charge (Powerlit Boost, Black)","3,999",5.0 out of 5 stars
"Spigen 5in1 10000 mAh Wireless Power Bank with USB-A Dual Charging Dock for TWS and Smartwatches, Lithium Polymer - Black","3,329",3.9 out of 5 stars
URBN 10000 mAh Li-Polymer Ultra Compact Power Bank | 12W Fast Charge | Dual USB Output | Type C & Micro Input Only | Pocket Size | Made in India (Bright Blue),"1,099",3.9 out of 5 stars
"Callmate 20000 mAh Lithium Polymer Digital Display Power Bank with in-Built 4 in 1 Cable USB Input Port DX15 with 18 Watt Fast Charging, Black","1,199",3.1 out of 5 stars
"Amazon Basics 10000 mAh Lithium Polymer Power Bank | Dual Input (Type C, Micro USB), Dual Output (2 USB) | Black",749,3.4 out of 5 stars
URBN 27000 mAh 65W Ultra Fast Charging Compact Power Bank | Type C Power Delivery (Input& Output) | Quick Charge | Two-Way Fast Charging | Charge Laptop/Mobiles/TWS/Speakers | (Blue),"4,299",4.0 out of 5 stars
"Ambrane 100W Fast Charging Powerbank for MacBook, Type C Laptop & Mobile Charging, 25,000mAh Battery, Triple Output, Power Delivery & Quick Charge (Powerlit Ultra, Black)","4,999",5.0 out of 5 stars
"Portronics Power Brick II 20K 20000mAh Power Bank with 2.4A Max Output, Dual Input (Type C + Micro) Dual USB Output(White)","1,299",3.8 out of 5 stars
"Ambrane 40000mAh Powerbank Fast Charging Li-Polymer, 65W for MacBook & Type C Laptops Charging, Triple Output, Type-C PD & USB Ports for iPhones, Smartphones & Other Devices (Stylo Boost, Blue)","4,299",3.6 out of 5 stars
"URBN 27000 mAh 22.5W Super Fast Charging Compact Power Bank with Quick Charge & Power Delivery, Type C Input/Output, Made in India, Type C Cable Included (Blue)","2,499",4.0 out of 5 stars
"Amazon Basics 10000mAH Lithium Polymer 18W Fast Charging Power Bank | Dual Input and Triple Output Ports | Metallic Body, Black",999,3.8 out of 5 stars
"SYSKA Power Bank 10000mah | 6 Months Warranty | PL100J, 3-in-1 Led Light for Camping and Travel, Upto 40 Hours Working Period, Powerbank, Battery Bank, Emergency Light","1,499",4.2 out of 5 stars
"Ambrane 10000mAh Compact Powerbank, 22.5W Fast Charging, Dual Output Ports 1 USB & 1 Type-C, Power Delivery, Quick Charge, Li-Polymer for iPhone, Android & Other Devices (Powerlit, Green)","1,599",4.6 out of 5 stars
"Portronics Power Brick II 10000 mAh Power Bank with LED Indicators, Fast Charging for Mobile & Other Devices(White)",799,3.4 out of 5 stars
"Portronics Power Brick II 10000 mAh Power Bank with LED Indicators, Fast Charging for Mobile & Other Devices(Blue)",749,3.4 out of 5 stars
"Ambrane 40000mAh Powerbank Fast Charging Li-Polymer, 65W for MacBook & Type C Laptops Charging, Triple Output, Type-C PD & USB Ports for iPhones, Smartphones & Other Devices (Stylo Boost,Green)","4,299",3.6 out of 5 stars
URBN 20000 mAh 20W Super Fast Charging Metal Power Bank | Type C PD (Input& Output) | QC 3.0 Dual USB Output | Two-Way Fast Charging | Type C Cable Included-Black,"1,499",3.7 out of 5 stars
URBN 10000 mAh Lithium_Polymer 15W Super Fast Charging Wireless Power Bank with 22.5W Type C PD (Input& Output) and QC 3.0 Dual USB Output with Free Type C Cable (Black),"1,499",3.5 out of 5 stars
"URBN 27000 mAh 22.5W Super Fast Charging Compact Power Bank with Quick Charge & Power Delivery, Type C Input/Output, Made in India, Type C Cable Included (Camo)","2,799",4.0 out of 5 stars
"House of Quirk Travel Cord Organizer, Electronic Organizer, Travel Cable Organizer, Portable Waterproof Tech Organizer for Cable, Cord, Charger, Phone, Earphone (Black)",399,4.0 out of 5 stars
"Callmate 30000mAh High Capacity Power Bank, 15W Fast Charging | Digital Display | 2 USB Output Ports and 2 Input | LED Torch| Multi-Layer Protection for iPhone & Smartphones (Black, Lithium Polymer)","1,582",3.3 out of 5 stars
"Belkin 10000 mAh Slim Power Bank with 1 USB-C and 2 USB-A Ports to Charge 3 Devices Simultaneously with up to 15W for iPhones, Android Phones, Smart Watches, Apple AirPods - Rose Gold","1,999",4.2 out of 5 stars
"Portronics Power E 10K 10000 mAh Power Bank with Dual Input(Type C + Micro), Dual USB Output, LED Indicator, Wake up Button, 12W Max Output, 2.4A Current(Black)","1,035",4.3 out of 5 stars
"Ambrane 60W Fast Charging Powerbank for MacBook, Type C Laptop & Mobile Charging, Lithium Ion Battery, Metallic Body, Triple Output, Power Delivery & Quick Charge (Powerlit Boost, Black)","3,999",5.0 out of 5 stars
"Keychain Portable Charger for (iPhone) 1600mAh Mini Power Emergency Pod,External Fast Charging Power Bank Battery Pack, Key Ring Cell Phone Charger,Charger (Black) (iPhone)",799,4.3 out of 5 stars
"Belkin Quick Charge Magnetic Wireless Lithium_ion Power Bank 2500mAh, Sleek Design for All iPhone 14, Iphone13, iPhone 12 Models, Compatible for Magsafe Covers - (White)","3,899",3.2 out of 5 stars
"Ambrane 10000mAh Magnetic Wireless Power Bank for iPhone 12 & Above, 22.5W Wired + 15W Wireless Charging, Mobile Stand, Type C PD (Input & Output), Li-Polymer (Aerosync PB 10, Black)","1,999",3.1 out of 5 stars
"URBN 10000 mAh Lithium Power Bank UPR10K with 12 Watt Fast Charging, Blue","1,049",3.9 out of 5 stars
"Ambrane 100W Fast Charging Powerbank for MacBook, Type C Laptop & Mobile Charging, 25,000mAh Battery, Triple Output, Power Delivery & Quick Charge (Powerlit Ultra, Black)","4,999",5.0 out of 5 stars
URBN 27000 mAh Lithium_Polymer 20W Fast Charging Power Bank with Type C PD (Input& Output) and QC 3.0 Dual USB Output with Free Type C Cable (Black),"2,199",3.8 out of 5 stars
URBN 20000 mAh 20W Super Fast Charging Metal Power Bank | Type C PD (Input& Output) QC 3.0 Dual USB Output | Two-Way Fast Charging | Type C Cable Included -Red,"1,699",3.7 out of 5 stars
URBN 10000 mAh Lithium_ion Premium Black Edition Nano Power Bank | 20W Fast Charging | Smallest Power Bank | Type C PD (Input& Output) | Made in India | Dual Output | Free Type C Cable - Black,"1,649",4.1 out of 5 stars
"Ambrane 20000mAh Compact Power Bank, 22.5W Fast Charging, Metallic Body, Triple Output, Type C PD (Input & Output), Li-Polymer for iPhone, Smartphones & Other Devices (Powerlit XL, Blue)","2,492",3.9 out of 5 stars
"Ambrane 60W Fast Charging Powerbank for MacBook, Type C Laptop & Mobile Charging, Lithium Ion Battery, Metallic Body, Triple Output, Power Delivery & Quick Charge (Powerlit Boost, Black)","3,999",5.0 out of 5 stars
"Spigen 5in1 10000 mAh Wireless Power Bank with USB-A Dual Charging Dock for TWS and Smartwatches, Lithium Polymer - Black","3,329",3.9 out of 5 stars
2&CO 10000mAh MagSafe Magnetic Wireless Power Bank for iPhones.,"3,990",5.0 out of 5 stars
"Spigen 5in1 10000 mAh Wireless Power Bank with USB-A Dual Charging Dock for TWS and Smartwatches, Lithium Polymer - Black","3,329",3.9 out of 5 stars
"Callmate C-Thru 20000mAh Transparent Power Bank, 23W Fast Charging with Type C PD (Input & Output | 2 Output Ports and 2 Input | Digital Display (23 W, Power Delivery) (Transparent, Grey, Lithium Ion)","1,993",3.5 out of 5 stars
"Amazon Basics 10000mAH Lithium Polymer 18W Fast Charging Power Bank | Dual Input and Triple Output Ports | Flat Metallic Body, Black",999,3.8 out of 5 stars
"UGMA Wireless Portable Power Bank 5000Mah Wireless Charging Battery Pack Compatible with iPhone 11,11PRO, 11PRO MAX, 12,12 Pro,12 Pro Max,13 Pro/13/13pro Max,14, 14 Pro, 14 Pro Max, 14 Plus","1,499",
Electronic Spices T6845-C Power Bank Charging Circuit Module Pack of 1pcs,72.,3.4 out of 5 stars
"House of Quirk Travel Cord Organizer, Electronic Organizer, Travel Cable Organizer, Portable Waterproof Tech Organizer for Cable, Cord, Charger, Phone, Earphone (Grey)",399,4.0 out of 5 stars
Stuffcool PB9063W 5000mAh Magnetic Powerbank Compatible with Apple Watch Charging and Leather Kick Stand - Black,"3,198",3.0 out of 5 stars
"Anker 622 Magnetic Battery MagGo, 5000mAh Foldable Magnetic Wireless Portable Charger and USB-C for iPhone 14 & 13 Series (Interstellar Grey)","6,999",4.4 out of 5 stars
"Amazon Basics 20000 Mah Lithium Polymer 22.5W Fast Charging Power Bank | Triple Output (Type C, 2 USB), Dual Input (Type C, Micro USB) | Metallic Blue","1,599",3.2 out of 5 stars
URBN 20000 mAh 20W Super Fast Charging Metal Power Bank | Type C PD (Input& Output) QC 3.0 Dual USB Output Two-Way Fast Charging Type C Cable Included -Blue,"1,699",3.7 out of 5 stars
"Ambrane 20000mAh Power Bank with 10.5W Fast Charging, Dual USB Output, Made in India, Multi-Layer Protection, Wide Compatibility, Stylish & Compact Design + Free Type-C Cable (Capsule 20, Blue)","1,399",3.2 out of 5 stars
"URBN 10000 mAh Lithium_Polymer 22.5W Super Fast Charging Ultra Compact Power Bank with Quick Charge & Power Delivery, Type C Input/Output, Made in India, Type C Cable Included (Camo)","1,499",4.0 out of 5 stars
"WebMedia -Magsafe Compatible, 10000mAh Capacity- 15W Wireless & 20W Wired Quick - Wireless/Wired Power Bank for iPhone 13/12/11, Samsung, Pixel and Other Wireless/Wired Devices, with Flap-Magnetic Stand","4,500",4.5 out of 5 stars
"Callmate 80000mAh Ultra High Capacity Power Bank, 15W Fast Charging |Digital Display |4 USB Output Ports and 3 Input | LED Torch| Multi-Layer Protection for iPhone, Smartphones (Black, Lithium Polymer)","3,599",3.2 out of 5 stars
"Woodford Design aCrafts Shock Proof Pouch Case Wallet Cover Protector for Mi Power Bank 3i 20000mAh PLM18ZM, Black",320,4.3 out of 5 stars
"Belkin Quick Charge Magnetic Wireless Lithium_ion Power Bank 2500mAh, Sleek Design for All iPhone 14, Iphone13, iPhone 12 Models, Compatible for Magsafe Covers - (Black)","3,899",3.2 out of 5 stars
OBOE Silicon Soft Cover Case for Mi Power Bank 3i 20000 mAh Battery (Black),349,4.1 out of 5 stars
"Belkin Quick Charge Magnetic Wireless Power Bank 5000mAh with Stand, Sleek Design for All iPhone 14, 13 and 12 Models, Compatible with MagSafe Covers - Black Lithium Ion milliamp Hour Black","5,400",3.5 out of 5 stars
Portronics Power PRO Lithium Polymer 20K 20000 mAh Power Bank with Dual Output and Dual Input Fast Charging Delivery (Black),"1,299",3.5 out of 5 stars
URBN 27000 mAh Lithium_Polymer 20W Fast Charging Power Bank with Type C PD (Input& Output) and QC 3.0 Dual USB Output with Free Type C Cable (Black),"2,199",3.8 out of 5 stars
"WebMedia -Magsafe Compatible, 10000mAh Capacity- 15W Wireless & 20W Wired Quick - Wireless/Wired Power Bank for iPhone 13/12/11, Samsung, Pixel and Other Wireless/Wired Devices (PBWL06, 10000 mAh)","4,500",4.5 out of 5 stars
"Caponics 10000 Mah Polymer Power Bank With Built In 4 In 1 Usb Cables For Fast Charging For Iphone Samsung And All Android Phones, Digital Display For Battery Indication (Cap-412-B, Black)","1,499",3.5 out of 5 stars
"Stuffcool Snap 5000mAh Super Compact Lightning Power Bank with 20W PD Output, Charges Any iPhone 50% in 30 mins, Compatible with All iPhones, iPads, Airpods (Black)","2,299",3.9 out of 5 stars
